Coordinates:	CZ
5	o%d%p%o%l%e%d%n%e%
5	o%d%m%í%t%a%l%
5	o%d%d%i%ch%l%
5	n%o%h%i%
5	n%e%v%j%e%ď%e%l%i%
5	n%e%u%ď%e%l%a%l%
5	n%e%s%t%a%č%i%l%
5	n%e%m%á%
5	n%e%m%u%s%í%
5	n%e%m%o%h%u%
5	n%e%m%o%h%l%i%
5	n%a%š%e%l%
5	n%a%š%e%
5	m%ů%ž%e%m%e%
5	m%u%s%í%t%e%
5	m%u%s%e%t%
5	m%o%h%l%a%
5	m%i%s%l%i%l%i%
5	l%e%ž%í%
5	l%e%ž%e%t%
5	l%e%s%a%
5	l%e%k%a%l%
5	k%ň%í%ž%k%u%
5	k%ň%i%h%i%
5	k%ou%k%a%t%
5	k%o%n%v%e%
5	k%l%u%k%i%
5	k%a%ž%d%é%
5	j%e%s%t%l%i%
5	j%e%d%n%u%
5	j%e%d%n%a%
5	h%l%í%d%a%l%
5	h%l%a%d%
5	h%a%d%r%á%ř%
5	d%o%č%k%a%t%
5	d%o%l%ů%
5	d%o%k%t%o%r%e%
5	d%o%h%r%o%m%a%d%i%
5	d%o%b%u%
5	d%l%ou%h%í%
5	d%a%l%š%í%
5	ch%ť%e%l%i%
5	c%e%s%ť%e%
5	b%u%d%e%š%
5	b%j%e%ž%e%l%i%
5	b%e%z%e%
5	b%a%t%o%h%u%
5	Z%a%n%e%d%l%ou%h%o%
5	V%o%d%a%
5	U%
5	T%e%p%r%v%e%
5	T%a%ť%i%
5	S%t%e%p%ň%í%m%
5	S%l%u%n%c%e%
5	S%k%a%u%t%
5	P%o%j%ď%m%e%
5	P%a%n%t%á%t%o%
5	N%e%b%o%j%
5	M%á%
5	M%u%s%t%a%n%z%í%ch%
5	M%a%m%i%n%k%a%
5	J%s%e%m%
5	J%e%h%o%
5	H%á%j%k%a%
5	H%a%h%ou%
5	B%u%d%e%m%e%
5	A%b%i%
4	ž%i%v%o%t%a%
4	ž%i%v%o%t%
4	ž%e%l%e%z%a%
4	ť%e%ž%k%ou%
4	ť%e%š%i%l%
4	š%ť%e%s%ť%í%
4	š%p%a%t%ň%e%
4	š%a%t%i%
4	ř%í%z%k%i%
4	ř%e%č%
4	ř%e%k%n%u%
4	ř%e%k%l%i%
4	ň%i%k%d%e%
4	ň%i%
4	ň%e%m%ž%
4	ň%e%k%a%m%
4	ň%e%j%a%k%é%m%
4	ň%e%j%a%k%á%
4	ď%í%l%c%e%
4	ď%i%v%i%l%i%
4	ď%e%l%a%l%
4	č%t%v%r%t%e%k%
4	č%l%u%n%
4	č%a%s%t%o%
4	ú%s%m%ň%e%v%e%m%
4	ú%d%o%l%í%
4	z%á%v%o%d%i%
4	z%á%v%o%d%e%ch%
4	z%á%d%e%ch%
4	z%v%o%l%á%ň%í%
4	z%v%j%e%d%a%v%o%s%ť%í%
4	z%u%b%i%
4	z%p%j%e%t%
4	z%m%i%j%e%
4	z%l%o%b%ň%e%
4	z%l%e%
4	z%e%p%t%a%l%i%
4	z%d%e%
4	z%d%a%l%e%k%a%
4	z%a%č%n%e%
4	z%a%v%o%l%a%l%i%
4	z%a%v%e%l%e%l%
4	z%a%t%ř%á%s%l%
4	z%a%s%t%a%v%i%l%i%
4	v%ů%d%c%e%m%
4	v%ř%í%t%
4	v%č%e%r%a%
4	v%í%k%ř%i%k%i%
4	v%z%p%a%m%a%t%o%v%a%t%
4	v%z%h%ů%r%u%
4	v%r%á%ť%í%m%
4	v%r%á%ť%i%l%
4	v%r%h%l%
4	v%o%ď%e%
4	v%o%z%í%k%e%m%
4	v%l%k%i%
4	v%j%e%c%í%
4	v%j%e%c%
4	v%i%r%a%z%i%l%
4	v%i%p%a%d%a%l%o%
4	v%i%l%e%z%l%
4	v%i%k%l%á%d%a%t%
4	v%e%č%e%r%a%
4	v%e%s%ň%i%c%e%
4	v%e%l%i%k%í%
4	v%a%š%i%
4	u%s%n%u%l%
4	u%r%č%i%ť%e%
4	u%k%á%z%a%l%
4	u%d%í%ch%a%ň%e%
4	t%é%t%o%
4	t%é%m%ň%e%ř%
4	t%v%á%ř%i%l%
4	t%v%r%ď%e%
4	t%r%v%a%l%o%
4	t%i%č%í%
4	t%a%ť%i%
4	t%a%š%c%e%
