Coordinates:	5.3999,7.0167
20.9845	e%j%i%
20.7907	ọ́%
20.7242	n%n%e%
20.5358	?%
20.0963	à%
19.6784	n%i%l%e%
19.3658	a%kp%ọ%
19.3496	e%e%
19.2151	a%h%a%
18.7838	a%k%a%
18.6934	w%ụ%l%a%
18.6716	a%b%i%a%
17.7991	n%i%
17.6318	ụ%m%ụ%
17.2922	g%i%
17.2713	ǹ%d%ì%
17.233	m%e%e%
17.2094	n%gw%a%
17.1144	!%
16.4323	i%k%e%
16.1041	ụ%z%ọ%
16.0169	n%n%a%
15.9933	a%ny%a%
15.8751	w%è%
15.8675	ụ%l%ọ%
15.5226	ọ̀%
15.2907	kw%a%
15.2023	e%l%u%
15.1619	á%h%ù%
15.1251	r%ị%
14.9363	nw%a%ny%ị%
14.7899	o%o%
14.6548	m%m%
14.3865	a%h%u%
14.3176	Y%a%
14.2299	a%n%a%-%
14.1614	m%m%a%d%ụ%
13.8542	m%m%m%
13.8318	ọ%m%a%
13.7494	á%
13.4527	g%à%
13.3593	m%e%r%e%
13.3306	w%e%
13.1681	i%h%i%
13.0369	a%k%ụ%k%ọ%
12.7341	w%e%r%e%
12.7187	kw%à%
12.5114	a%t%ọ%
12.4152	h%è%
12.2574	y%è%
12.2076	ǹ%g%à%
12.1862	É%ny%í%ò%g%ù%g%ù%
12.1763	l%e%e%
11.7192	n%e%w%
11.6852	Ọ%
11.3552	o%nw%e%
11.3382	m%a%r%a%
11.2866	é%
11.2387	o%b%i%
11.2202	a%n%ọ%
11.1987	a%kw%a%
11.1566	d%ị%
10.9067	m%b%e%
10.7135	sh%i%r%i%
10.6952	N%n%e%
10.68	ǹ%d%è%
10.4195	a%g%a%
10.4062	u%n%u%
10.233	a%ny%i%
10.2245	a%b%ụ%ọ%
10.0688	m%à%
10.0544	É%
9.9792	u%gb%u%u%
9.92649	j%i%r%i%
9.87272	n%ì%
9.85741	Nw%a%
9.81336	ọ%n%ụ%
9.73925	é%j%ì%
9.7261	u%r%i%
9.55651	m%a%k%a%
9.37249	i%ch%e%
9.1722	a%f%ọ%
9.12247	ó%ny%é%
9.11323	a%gb%a%
9.0866	h%ụ%r%ụ%
9.07602	m%m%ụ%t%a%
9.05317	e%gb%e%
9.03283	o%l%e%
8.88443	N%d%e%e%w%o%
8.85015	n%u%
8.8492	a%sh%ị%
8.75758	kp%a%
8.68103	e%ny%i%
8.65305	o%l%o%
8.48424	m̀%gb%è%
8.40751	e%b%u%r%u%
8.31621	e%sh%i%
8.30871	ọ́%nw%á%
8.04128	ch%i%
7.98599	a%g%ụ%
7.95893	i%f%o%
7.89154	a%m%a%
7.83869	i%b%e%
7.74633	a%n%a%
7.74424	p%ụ%t%a%
7.68103	a%gw%a%
7.67254	i%
7.52722	a%z%ụ%
7.48053	A%
7.47876	E%
7.4333	a%h%i%a%
7.383	kp%ọ%
7.35148	i%r%i%
7.32934	y%á%
7.32187	ǹ%k%è%
7.24522	a%gb%a%r%a%
7.20687	j%ì%
7.16697	n%o%
7.11822	m%a%n%a%
7.08055	á%s%á%à%
7.07804	d%ì%
7.02345	é%b%é%
